Id,Label,timeset,num_minutes,avg_hour,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
244,RIY,,48.641244,17,0,0,0,0,0,0,0
245,MAR08,,46.251227,21.866667,1,1,2,1,1,1,0
246,MJHRL,,40.480687,15.63964,5,9,14,5,0.381107,0.419658,721.103216
247,CVXWI,,40.146809,19,0,0,0,0,0,0,0
248,CVXCV,,39.720949,19,0,0,0,0,0,0,0
249,CVXHL,,39.262848,18.5,0,0,0,0,0,0,0
250,OQY26,,39.163502,15.1875,0,0,0,0,0,0,0
251,OQY20,,35.595745,15.588235,0,0,0,0,0,0,0
252,SNGS,,34.448445,14.944444,3,2,5,7,0.240741,0.253816,2.895833
253,MAR1,,33.385597,16.478261,0,1,1,7,0.212421,0.221388,0
254,QNJK,,28.952373,21,0,0,0,0,0,0,0
255,KNYE,,27.752373,16.54717,0,1,1,6,0.266742,0.279574,0
256,OQY4,,27.409165,15.067797,2,2,4,5,0.363919,0.393803,236
257,DZWNX,,26.146481,14.112676,3,3,6,5,0.363919,0.395228,0
258,LJQRG,,25.987889,17.208333,1,1,2,6,0.232604,0.242094,0
259,BDGV,,24.449918,18.315789,2,1,3,6,0.259136,0.274644,0
260,OWBV,,24.418167,18.461538,0,0,0,0,0,0,0
261,OQY13,,22.878232,14.769231,1,0,1,0,0,0,0
262,MAR5,,22.435843,20.173913,2,2,4,5,0.364486,0.394872,10.466596
263,GAN3E,,22.077087,19.666667,1,1,2,5,0.314171,0.33305,470
264,OQY28,,20.505074,16.818182,0,0,0,0,0,0,0
265,MAR6,,19.883797,18.947368,0,1,1,6,0.2508,0.262553,0
266,OQY2,,19.042717,14.974684,4,2,6,5,0.363354,0.393091,3.667696
267,OQY5,,18.929787,16.440678,3,4,7,5,0.365055,0.398077,548.786639
268,YBZt2,,18.902946,12.888889,0,0,0,0,0,0,0
269,DZWNC,,18.804419,18.833333,0,0,0,0,0,0,0
270,SJU,,18.427169,13.681818,2,0,2,0,0,0,0
271,OQY21,,17.920131,15.6875,0,0,0,0,0,0,0
272,RXMSA,,15.85761,11.933333,0,0,0,0,0,0,0
273,RQWV1,,15.481506,12.923077,0,0,0,0,0,0,0
274,OQY22,,14.59689,15.558824,1,0,1,0,0,0,0
275,OQY12,,14.546645,15.548387,1,1,2,1,1,1,2
276,OQY34,,14.318003,12.666667,1,1,2,1,1,1,227
277,RXVER,,13.434697,15.5,2,1,3,5,0.301158,0.31802,465
278,NGXY,,12.077905,18.714286,0,0,0,0,0,0,0
279,MSM7,,12.011948,15.882353,0,0,0,0,0,0,0
280,CVXCH,,11.947136,17.833333,0,0,0,0,0,0,0
281,KXGIN,,11.601146,15.6,1,1,2,6,0.240989,0.25057,0
282,NKS37,,11.390998,19,0,0,0,0,0,0,0
283,GAN2,,11.357938,19.5,0,0,0,0,0,0,0
284,MAR07,,11.112111,21.8125,1,1,2,1,1,1,0
285,LXQ2W,,10.932733,19.5,0,0,0,0,0,0,0
286,MSM2,,10.898036,19.541667,2,1,3,7,0.230088,0.241473,1.346561
287,SIMND,,10.277905,19.333333,0,0,0,0,0,0,0
288,MAR4,,9.786252,20,1,1,2,6,0.268041,0.281695,0
289,BZX,,8.052209,18.4,0,0,0,0,0,0,0
290,RQWV2,,8.017676,11.652174,0,0,0,0,0,0,0
291,VVGV,,7.952209,18.65,1,1,2,5,0.345643,0.372151,0
292,VZJAN,,7.90491,18.285714,0,0,0,0,0,0,0
293,GAN3W,,7.756792,18.857143,0,1,1,5,0.34157,0.367021,0
294,MAR03,,7.609984,20.25,0,0,0,0,0,0,0
295,NEE,,7.430278,18.5,0,0,0,0,0,0,0
296,SHRXW,,7.152046,20.5,0,0,0,0,0,0,0
297,OQY9,,6.854828,15.451613,0,1,1,3,0.5,0.611111,0
298,DZCOW,,6.840589,18.285714,0,0,0,0,0,0,0
299,OQY33,,6.805074,16.096774,1,0,1,0,0,0,0
300,CVXSC,,6.775614,17.75,0,0,0,0,0,0,0
301,OQY7,,6.758265,14.391304,2,0,2,0,0,0,0
302,OQY16,,6.576596,17,0,0,0,0,0,0,0
303,OQY24,,6.021277,16,0,0,0,0,0,0,0
304,AAJAM,,5.957283,18.5,0,0,0,0,0,0,0
305,OQY29,,5.825041,12.470588,0,0,0,0,0,0,0
306,GANF,,5.728314,18,0,0,0,0,0,0,0
307,SWRV,,5.678396,18.25,0,0,0,0,0,0,0
308,GZE,,5.66252,20.375,0,0,0,0,0,0,0
309,RQWV6,,5.561702,13.882353,2,0,2,0,0,0,0
310,OQY19,,4.956465,16.772727,0,0,0,0,0,0,0
311,MAR10,,4.531424,18.076923,1,0,1,0,0,0,0
312,OQY18,,4.466285,15.380952,0,0,0,0,0,0,0
313,MAR9,,3.958265,16.217391,1,0,1,0,0,0,0
314,MAR06,,3.861866,20.8,0,0,0,0,0,0,0
315,MAR11,,3.681015,14.45,1,0,1,0,0,0,0
316,BSG51,,3.664812,19.3,0,0,0,0,0,0,0
317,RQWV3,,3.615385,14.647059,0,0,0,0,0,0,0
318,ENQS,,3.48527,18.818182,0,0,0,0,0,0,0
319,NKS24,,3.322422,20,0,0,0,0,0,0,0
320,RQWV5,,3.239444,16.277778,1,0,1,0,0,0,0
321,AUX,,3.190507,17,0,0,0,0,0,0,0
322,OQY14,,3.173486,14.761905,0,0,0,0,0,0,0
323,MAR01,,3.060393,18,0,0,0,0,0,0,0
324,RQWV4,,2.552537,16.5,0,0,0,0,0,0,0
325,OQY17,,2.22455,15,0,0,0,0,0,0,0
326,MAR02,,2.127496,18,0,0,0,0,0,0,0
327,MAR7,,2.094108,18.3,0,0,0,0,0,0,0
328,MSM05,,2.02946,22,0,0,0,0,0,0,0
329,BSG50,,1.96383,17.625,0,0,0,0,0,0,0
330,GKE,,1.914403,21.666667,0,0,0,0,0,0,0
331,BSG52,,1.7018,19.6,0,0,0,0,0,0,0
332,MAR04,,1.6527,21.25,0,0,0,0,0,0,0
333,VNOLD,,1.407365,17.5,0,0,0,0,0,0,0
334,YBZt4,,1.325532,14.285714,0,0,0,0,0,0,0
335,NKS4,,1.276432,16,0,0,0,0,0,0,0
336,LXQ2E,,1.260065,21,0,0,0,0,0,0,0
337,NKS32,,1.227005,19,0,0,0,0,0,0,0
338,NKS11,,1.211129,16.5,0,0,0,0,0,0,0
339,BEO&B,,1.210802,17,0,0,0,0,0,0,0
340,YBZt5,,0.997709,16.571429,0,0,0,0,0,0,0
341,MAR05,,0.981833,21.25,0,0,0,0,0,0,0
342,YBZt1,,0.882979,16.714286,0,0,0,0,0,0,0
343,DZCOE,,0.850573,18,0,0,0,0,0,0,0
344,VXV!,,0.76874,16.5,0,0,0,0,0,0,0
345,NKS38,,0.73617,18.75,0,0,0,0,0,0,0
346,RWNCK,,0.703601,14.25,0,0,0,0,0,0,0
347,NKS1,,0.703437,18.5,0,0,0,0,0,0,0
348,NKS31,,0.589198,18,0,0,0,0,0,0,0
349,ZDVAX,,0.507038,21,0,0,0,0,0,0,0
350,NKS3,,0.458265,20,0,0,0,0,0,0,0
351,NKS2,,0.458101,17,0,0,0,0,0,0,0
352,NKS25,,0.425205,17.5,0,0,0,0,0,0,0
353,HKXP,,0.409165,18,0,0,0,0,0,0,0
